"message","created_time","id","store_name"
"I'm still looking for Alexandria's shirts and pullovers!!!!!","2015-09-20T19:44:54+0000","147570341990082_912584438821998","Walmart300"
"We have asked for Jacksonville Christian Academy shirts who are also in Jacksonville,Alabama, and we have not seen any so you did not listen to us....💁💁💁💁","2015-09-19T01:25:08+0000","147570341990082_911719642241811","Walmart300"
"when will Christmas layaway begin and what are the rules","2015-07-31T05:57:24+0000","147570341990082_887528947994214","Walmart300"
"You need to look at my application because I've already filled out one.","2015-04-12T13:56:46+0000","147570341990082_832114633535646","Walmart300"
"What day and time should I call a manager?","2015-04-12T00:28:49+0000","147570341990082_831845303562579","Walmart300"
"If you all are hiring for stockers please let me know. I've been keeping my application updated on line, need a job A.S.A.P. Thank you","2015-04-11T22:44:50+0000","147570341990082_831806453566464","Walmart300"
"Merry Christmas","2014-12-10T23:06:01+0000","147570341990082_761485823931861","Walmart300"
"Attention walmart shoppers, beware before buying walmarts extented 2 year warranty. It is not worth fhe paper ot is written on.","2014-12-07T23:34:50+0000","147570341990082_759218840825226","Walmart300"
"We would like to thank the following businesses for allowing volunteers to collect donations for the Knights of Columbus Tootsie Roll Drive at their locations this past Saturday, Sunday and Monday;\nDorsey's Supermarket  of Oxford\nPiggly Wiggly of Anniston\nQuintard Mall\nWalmart Anniston\nWalmart Jacksonville\nWalmart Oxford \nWinn-Dixie of Anniston\nWinn-Dixie of Coldwater\nWinn-Dixie of Golden Springs\nWinn-Dixie of Jacksonville\nWinn-Dixie of Saks\nPlease help us show our appreciation of the merchants' support for the community by shopping at their stores!","2014-10-14T14:58:15+0000","147570341990082_730358773711233","Walmart300"
"Would like to congratulate my mom,Linda B.for sticking with Wal-Mart(Jville) for 10 or 11 years,since they don't recognize but certain people.Thank God above she is close to retiring!!! Her Anniversary was in August.","2014-10-01T22:20:16+0000","147570341990082_722486681165109","Walmart300"
"Why is it that every time I go to Jacksonville Wal-Mart, it seems everyone forgets how to put their buggy away. And the lazy people decide it's a GREAT idea to park the buggy against another person's vehicle when a place to put your buggy is literally two steps away from where you are, AND to do this while someone is sitting in the vehicle WATCHING you???\nSTOP BEING LAZY. Put your buggy away like a normal, decent human being. \nMaybe Wal-Mart should do like Aldi and make you put a quarter in to get a buggy, then people will darn sure remember to put their buggy's away correctly.","2014-08-14T21:16:05+0000","147570341990082_697436550336789","Walmart300"
"This store really needs people to answer the phones. I have called honestly 12 times today for personnel and no one has answered. Up at the front, I've gotten an answer maybe 4 or 5 times. I also seen another post about the same thing. It really needs to get fixed.","2014-06-26T19:52:52+0000","147570341990082_672415469505564","Walmart300"
"Can't thank you enough for this amazing experience can't wait for the final meeting tomorrow wonder what's going to happen there ^_^","2014-06-06T01:55:17+0000","147570341990082_661378793942565","Walmart300"
"why is it that every time the workers bounce time rolls around.they post it saying we are geting this much.then turn around and make it something different.us the workers are geting really tired of this.we work to hard just to be short changed specially third shift.","2014-05-14T23:55:07+0000","147570341990082_649980625082382","Walmart300"
"baby furniture\n","2014-02-25T22:56:18+0000","147570341990082_610625335684578","Walmart300"
"I just wanted to let you know how good Tierra, Chris W. and Will were to me earlier this morning. I accidentally left my electronic device with all my cards in the case in a cart and left it in a corral.  The three offered to look for it and promptly located  it and had it at the service desk waiting for me when I got there. You have some excellent employees. Thank you so very much","2014-01-27T16:51:22+0000","147570341990082_594832600597185","Walmart300"
"r u guys open\n","2013-12-26T02:01:14+0000","147570341990082_577634248983687","Walmart300"
"Butterfinger","2013-11-01T14:57:53+0000","147570341990082_550070215073424","Walmart300"
"I'm looking for a Presto Power Pop microwave popcorn popper that has the base on the bottom, a popping bowl with place for cup concentrater to fit in it, and you can put plain popcorn and/or oil and or butter in and microwave.  I love fresh popcorn and am trying to find another one of these appliances.  Could someone help me get one of these items to the Jacksonville Wal-Mart so I can purchase it?  Thanks and have a blessed day.","2013-09-18T05:31:14+0000","147570341990082_527812227299223","Walmart300"
"We now have authentic Duck Dynasty duck calls. Visit our Sporting Goods Department and check them out! They are really cool....and that's a fact Jack.","2013-08-08T19:59:09+0000","147570341990082_509966189083827","Walmart300"
"I called your location to find a product listed on the site with an item #. The site suggested contacting the store for availability. After nearly 8 min on hold, I was redirected to the operator. I asked for the Baby Dept. again only to be told that the associates may be at lunch. I was put on hold again. After 10 min, I just hung up. ","2013-07-30T17:13:55+0000","147570341990082_505908182822961","Walmart300"
"Go Union!!!\n","2013-04-19T01:14:34+0000","147570341990082_458920484188398","Walmart300"
